id,completion,channel
0TR001015__4402B1,"Elevate your style quotient with Tom Ford FT0646 sunglasses. These shades feature a rectangle shape and are crafted from high-quality acetate, known for its durability and lightweight feel. The matte tortoise frame color adds a touch of sophistication, while the solid blue lenses provide excellent sun protection. These glasses are a versatile choice for everyday wear. Embrace timeless elegance with Tom Ford FT0646 sunglasses. These sunglasses are available with prescription lenses.",LC - Lens Crafters|DC - David Clulow
0TY2118U__1847,"Elevate your fashion while optimizing utility with Tory Burch TY2118U eyeglasses. The rectangle shape and polished finish create a timeless and sophisticated look, while the striped olive tortoise color adds a unique twist to the traditional style. Crafted from durable acetate, these frames are designed to withstand everyday wear and tear. Embrace your individuality and express your unique style with Tory Burch TY2118U eyeglasses. These eyeglasses are available with prescription lenses.",LC - Lens Crafters
0TY7143U__170913,Elevate your fashion and optical standards with Tory Burch TY7143U sunglasses. The square shape and polished black acetate frame offer a sleek and modern look. The dark brown gradient lenses provide optimal protection while enhancing your style. These glasses are not only stylish but also versatile. Embrace the sophistication of these trendy shades. These sunglasses are available with prescription lenses.,LC - Lens Crafters
0TY7086__131213,"Experience the epitome of style and sophistication with Tory Burch TY7086 sunglasses. Crafted from durable acetate, these glasses feature a polished black rectangle shape that adds a touch of elegance to any outfit. The brown gradient lenses not only look great but also provide optimal visual clarity. Embrace your unique sense of fashion with these chic and versatile shades. These sunglasses are available with prescription lenses.",LC - Lens Crafters
0TY4007U__1833,"Experience the perfect combination of style and sophistication with Tory Burch TY4007U eyeglasses. These rectangle-shaped frames feature a polished bordeaux color, adding a touch of elegance to any look. Crafted from durable materials, these glasses are designed to last. Embrace your unique sense of style with these chic and versatile eyewear. These eyeglasses are available with prescription lenses.",LC - Lens Crafters
0SF2290__492,Sferoflex SF2290 eyeglasses seamlessly blend superior craftsmanship with a modern and sophisticated design. The metal frame features a unique pillow shape that adds a touch of elegance to any look. The polished dark gunmetal color provides a sleek and stylish aesthetic. These glasses are not only fashionable but also practical. These eyeglasses are available with prescription lenses.,LC - Lens Crafters
0TR000973__1100B1,"Discover the impeccable synergy of style and functionality in Tom Ford TR000973 eyeglasses. These irregular-shaped frames are crafted from durable acetate, ensuring longevity and comfort. The black color with a hint of blue adds a touch of sophistication to any look, making these glasses a versatile choice for everyday wear. Embrace your unique style with Tom Ford's impeccable vision accessories featuring brilliant blue lens colors. These eyeglasses are available with prescription lenses.",LC - Lens Crafters
0SH3068__0001,"Elevate your fashion while optimizing functionality with Starck SH3068 eyeglasses. The phantos shape and black color give these frames a sleek, modern look. The key bridge adds a unique touch to the design. These glasses are not only stylish but also practical. With Starck SH3068, you can enjoy an elegant package with superior vision. These eyeglasses are available with prescription lenses.",GL - Glasses|LC - Lens Crafters
0SV1001__006,"Elevate your style game with Salmoiraghi & Viganò SV1001 eyeglasses. The polished pale gold metal frame, combined with the phantos shape, gives these glasses a timeless appeal. The metal construction makes these frames durable and lightweight, ensuring long-lasting comfort and wearability. These eyeglasses are not only stylish but also practical. With their sophisticated design and high-quality material, they are a must-have accessory for any fashion-forward individual. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò
0SV2002__1012,"Salmoiraghi & Viganò SV2002 eyeglasses seamlessly blend style and comfort. The square shape and polished finish give these frames a modern look, while the top bordeaux on ice color adds a touch of sophistication. Crafted from high-quality acetate, these glasses are not only stylish but also durable. These eyeglasses are an excellent choice for those seeking both fashion and functionality. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò
0SH3064__0005,"Experience the perfect blend of style and comfort with Starck SH3064 eyeglasses. The pillow shape adds a touch of sophistication to any look, while the matte green color offers a modern twist. Crafted from durable material, these glasses are designed for everyday wear. Embrace your unique style with this stylish and versatile frame. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò
0SF5504S__C21313,"Elevate your style quotient with Sferoflex SF5504S sunglasses. The polished havana acetate frame, in a striking butterfly shape, offers a timeless appeal. These shades feature gradient brown lenses that not only provide excellent vision but also add a touch of sophistication to your look. With such stylish and versatile glasses, you are sure to make heads turn wherever you go. These sunglasses are available with prescription lenses.",LC - Lens Crafters
0RX7074__5364,"Elevate your fashion as well as vision with Ray-Ban RB7074 Optics. The square shape and matte black frame color offer a modern, sleek look. The key bridge adds a unique touch to the design, making these eyeglasses stand out. Crafted from durable material, these frames are designed to last. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò|SV - Salmoiraghi e Viganò|LC - Lens Crafters|TO - Target Optical
0RX7183__5207,"Elevate your fashion and optical standards with Ray-Ban RB7183 Optics. The square shape and peek frame material offer a modern twist on the timeless design. The matte finish in sand blue gives these eyeglasses a sleek, stylish look. These shades are not only a fashion statement but also provide excellent vision. These eyeglasses are available with prescription lenses.",TO - Target Optical|LC - Lens Crafters|SV - Salmoiraghi e Viganò|GL - Glasses
0TY7162U__18527C,"Experience the ideal blend of style and functionality with Tory Burch TY7162U sunglasses. These square-shaped glasses feature a polished amber wood frame made from durable acetate, offering a timeless appeal. The solid color amber lenses further add to the overall look, making these shades a must-have accessory for any fashion-forward individual. These sunglasses are available with prescription lenses.",GL - Glasses
0RL8186__500771,"Elevate your fashion quotient with Ralph Lauren RL8186 sunglasses. These glasses feature a polished, shiny striped havana frame in a striking cat eye shape, made from durable acetate. The solid color bottle green lenses add a touch of sophistication to the overall design. These shades are not only stylish but also practical for everyday wear. These sunglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò
0RX5154__8058,"Ray-Ban Clubmaster Optics are a timeless and sophisticated choice for eyewear. The square shape, crafted from durable acetate, is a versatile design that suits most face shapes. The polished mock tortoise frame color adds a touch of elegance to any outfit. These glasses are not only stylish but also practical. These eyeglasses are available with prescription lenses.",TO - Target Optical|GL - Glasses|GL - Glasses|TO - Target Optical
0RX4246V__5762,"Introducing the Ray-Ban Clubround Optics, a timeless design that seamlessly blends the worlds of round and aviator frames. Crafted from high-quality acetate, these eyeglasses feature a polished, transparent finish that reveals the intricate detailing underneath. The round shape adds a touch of vintage charm to any outfit, while the black frame color provides a modern edge. With its unique design and impeccable craftsmanship, these shades are both stylish and versatile. These eyeglasses are available with prescription lenses.",TO - Target Optical|GL - Glasses
0RX5366__5082,"Discover the meticulous craftsmanship that unites style and optical functionality in Ray-Ban RB5366 Optics. The butterfly shape, crafted from durable acetate, features a polished finish in a unique havana on transparent color that adds a touch of sophistication to any look. The key bridge design adds an extra touch of charm to these eyeglasses. These eyeglasses are available with prescription lenses.",TO - Target Optical|SV - Salmoiraghi e Viganò|OPSM - OPSM|LC - Lens Crafters|CL - Clearly
0RX6375__2981,"Elevate your fashion and optical standards with Ray-Ban RB6375 Optics. The polished metal frame in a unique blue on gunmetal color finish, paired with a key bridge design, gives these eyeglasses a modern and sophisticated look. Crafted in a phantos shape, these frames are not only stylish but also comfortable to wear. These eyeglasses are available with prescription lenses.",GL - Glasses|TO - Target Optical|GL - Glasses
0RX4323V__5999,"Elevate your style with Ray-Ban RB4323V Optics. The square shape and polished striped grey havana frame color give these eyeglasses a modern and sophisticated look. Crafted from durable material, these frames are designed to last. Embrace the versatility of these glasses, whether you prefer a fashion-forward or more practical approach to eyewear. These eyeglasses are available with prescription lenses.",TO - Target Optical
0RX5206__2479,"Elevate your style quotient with Ray-Ban RB5206 Optics. Featuring a polished black on red acetate frame in a distinctive rectangle shape, these eyeglasses are a modern and stylish choice for everyday wear. The unique color combination adds a playful touch to the sophisticated design. These frames are not only stylish but also versatile, making them an ideal choice for those seeking both fashion and functionality. These eyeglasses are available with prescription lenses.",LC - Lens Crafters|SV - Salmoiraghi e Viganò|CL - Clearly
0RX5375__8055,"Elevate your style game with Ray-Ban RB5375 Optics. The square shape and polished finish of the striped grey acetate frame give these eyeglasses a sleek and modern look. Crafted with precision, these glasses are designed to last. Whether you're looking for fashion or function, this pair has you covered. These eyeglasses are available with prescription lenses.",TO - Target Optical
0RX6375__3051,"Elevate your fashion and optical standards with Ray-Ban RB6375 Optics. The metal frame, in a striking matte black on gold finish, features a key bridge design that adds a unique touch to the phantos shape. Crafted with precision using durable materials, these glasses are designed for longevity. Embrace the timeless appeal of Ray-Ban and experience the perfect fusion of style and comfort. These eyeglasses are available with prescription lenses.",LC - Lens Crafters|TO - Target Optical|SV - Salmoiraghi e Viganò
0RX5376__5082,"Ray-Ban RB5376 Optics are a perfect blend of style and functionality. The phantos shape, combined with a polished havana on transparent frame color, exudes a timeless appeal. Crafted from durable acetate, these eyeglasses feature a key bridge for added support. These shades are not only stylish but also practical. These eyeglasses are available with prescription lenses.",GL - Glasses|TO - Target Optical|SV - Salmoiraghi e Viganò|OPSM - OPSM
0RX6344__2861,"Elevate your eyewear experience with Ray-Ban RB6344 Optics. Crafted from durable steel, these square-shaped glasses feature a polished black on silver frame color that adds a touch of sophistication to any look. The frame is designed to be versatile and can be paired with any outfit. These eyeglasses are not only stylish but also practical. These eyeglasses are available with prescription lenses.",OPSM - OPSM|GL - Glasses|LC - Lens Crafters
0RX6389__2500,"Elevate your fashion and performance standards simultaneously with Ray-Ban General Optics. The square shape, crafted from durable metal, offers a modern twist on a timeless design. The polished gold frame color adds a touch of luxury, while the black color provides versatility. These eyeglasses are not only stylish but also practical. Embrace the synergy of fashion and function with these stunning shades. These eyeglasses are available with prescription lenses.",GL - Glasses|SV - Salmoiraghi e Viganò|LC - Lens Crafters|OPSM - OPSM
0RX6421__2997,"Elevate your style while optimizing performance with Ray-Ban RB6421 Optics. The square shape and metal frame material offer a modern and sophisticated look. Crafted in a sleek black on silver color, these eyeglasses feature a matte finish that adds a touch of elegance to any outfit. These frames are designed for durability and comfort, making them an ideal choice for everyday wear. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò|TO - Target Optical|LC - Lens Crafters|DC - David Clulow|CL - Clearly|OPSM - OPSM
0RX3946V__8050,"Ray-Ban Clubmaster Oval Optics redefines the standards of eyewear. These oval-shaped glasses are crafted from high-quality acetate, offering durability and comfort. The polished light grey frame color adds a touch of elegance to your look. The unique design makes these a versatile choice for everyday wear. Embrace your unique style with these timeless shades. These eyeglasses are available with prescription lenses.",TO - Target Optical
0RX6441__2500,"Ray-Ban General Gaze Optics represent a perfect blend of style and comfort. The square shape and polished gold metal frame give these glasses a timeless appeal, while the black color adds a touch of sophistication. These eyeglasses are not only stylish but also versatile, making them ideal for everyday wear. These eyeglasses are available with prescription lenses.",GL - Glasses
0RX7047__8100,"Elevate your style quotient with Ray-Ban RB7047 Optics. The polished blue frame, in a square shape, offers a modern and sophisticated look. These eyeglasses feature a polished finish that adds a touch of elegance to any outfit. Whether you're working from home or attending video conferences, these glasses will help you stay on top of your game while looking stylish. These eyeglasses are available with prescription lenses.",GL - Glasses|GL - Glasses
0SF2290__352,"Elevate your style quotient with Sferoflex SF2290 eyeglasses. The polished metal frame in a unique pillow shape offers a modern and stylish look. The brown color adds a touch of sophistication, making these frames versatile enough for everyday wear. Crafted from durable metal, these glasses are designed to last. These eyeglasses are available with prescription lenses.",LC - Lens Crafters|OPSM - OPSM
0RY1598__3831,"Introducing Ray-Ban RB1598 Optics Kids, a square-shaped frame that is polished to perfection. The black color adds a touch of sophistication, making these eyeglasses a stylish choice for your little ones. These frames are designed to be durable and comfortable, ensuring your children can wear them comfortably throughout the day. These eyeglasses are available with prescription lenses.",DC - David Clulow
0RY1587__3769,"Ray-Ban RB1587 Optics Kids eyeglasses are a perfect blend of style and comfort for your little ones. The oval shape frame, crafted from polished material, has a transparent light blue color that adds a touch of sweetness to any look. The saddle bridge ensures a comfortable fit while the unique design makes these glasses stand out. These eyeglasses are available with prescription lenses.",LC - Lens Crafters|LC - Lens Crafters
0RY1591__3806,"Ray-Ban RB1591 Optics Kids eyeglasses are a perfect blend of style and comfort for your little ones. The square shape and polished striped fuxia frame color, made from durable acetate material, offer a trendy look. These eyeglasses feature a unique design that is sure to make your child stand out. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò|LC - Lens Crafters|TO - Target Optical|OPSM - OPSM|DC - David Clulow
0SF2249__472,"Experience the perfect blend of style and sophistication with Sferoflex SF2249 eyeglasses. Crafted from durable steel, these square-shaped frames are polished to a high shine, offering a sleek and modern look. The dark brown color adds a touch of sophistication, making these glasses a versatile choice for any occasion. These eyeglasses are available with prescription lenses.",OPSM - OPSM
0RY1586__3773,"Elevate your child's fashion while ensuring optimal performance with Ray-Ban RB1586 Optics Kids eyeglasses. The square shape and polished black frame give these glasses a timeless appeal, while the durable material ensures longevity. These frames are designed to fit children's faces comfortably, making them a practical choice for everyday wear. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò|TO - Target Optical|TO - Target Optical
0RX8747__1000,"Experience the epitome of sophistication and optical precision with Ray-Ban RB8747 Optics. The polished gunmetal titanium frame offers a sleek, modern look, while the phantos shape adds a touch of vintage charm. These eyeglasses are not only stylish but also versatile, making them a perfect choice for everyday wear. These eyeglasses are available with prescription lenses.",GL - Glasses|OPSM - OPSM
0RY1553__3615,"Elevate your child's eyewear experience with Ray-Ban RB1553 Optics Kids. The square shape and matte black frame color create a timeless look. The key bridge adds a touch of sophistication, while the frame color finish ensures durability. These shades are not only stylish but also practical for everyday wear. These eyeglasses are available with prescription lenses.",OPSM - OPSM|CL - Clearly
0RX7047__5574,"Elevate your fashion while optimizing functionality with Ray-Ban RB7047 Optics. The square shape and matte finish add a modern touch to the timeless design. The light havana frame color provides a versatile look that complements any style. These eyeglasses are not just stylish but also practical, making them a must-have accessory for all fashion-forward individuals. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò|TO - Target Optical|GL - Glasses|LC - Lens Crafters|OPSM - OPSM|DC - David Clulow|CL - Clearly|GL - Glasses|OPSM - OPSM|CL - Clearly
0RX7047__5847,"Elevate your fashion while optimizing vision with Ray-Ban RB7047 Optics. The square shape and polished red havana frame color add a touch of sophistication to any look. Crafted from durable material, these eyeglasses are designed to last. Embrace the versatility of these glasses as they seamlessly transition from casual to formal wear. These eyeglasses are available with prescription lenses.",GL - Glasses|GL - Glasses
0RX7046__5364,"Experience the epitome of style and performance integration with Ray-Ban Erika Optics. These eyeglasses feature a phantos shape that is universally flattering, offering a modern twist on a timeless design. Crafted from matte black frames, these shades are as versatile as they are stylish. The key bridge adds an intriguing detail to the frame, while ensuring a comfortable fit for all face shapes. These eyeglasses are available with prescription lenses.",TO - Target Optical|SV - Salmoiraghi e Viganò|LC - Lens Crafters|GL - Glasses|OPSM - OPSM|DC - David Clulow|CL - Clearly
0RX7031__5400,"Ray-Ban RB7031 Optics are a perfect blend of style and comfort. The square shape and matte finish give these eyeglasses a modern and sophisticated look. The frame, crafted from durable acetate, is a dark blue color that adds a pop of color to your everyday wear. These glasses can be customized with your own lenses for added convenience. These eyeglasses are available with prescription lenses.",LC - Lens Crafters|TO - Target Optical
0RX6489__2501,"Ray-Ban Aviator Optics are a timeless design that seamlessly blends style and functionality. The pilot shape is accentuated by a polished metal frame in a sleek silver color, making these glasses a versatile choice for any occasion. These eyeglasses feature adjustable temples to ensure a comfortable fit, while the durable metal material ensures longevity. Embrace the iconic style of Ray-Ban with these Aviator Optics. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò|LC - Lens Crafters|DC - David Clulow|TO - Target Optical|SV - Salmoiraghi e Viganò|GL - Glasses|LC - Lens Crafters|OPSM - OPSM|CL - Clearly
0RX6519__3078,"Experience the epitome of style and performance integration with Ray-Ban Olympian II Optics. The square shape, crafted from durable metal, offers a modern twist to a timeless design. The polished brown frame color adds a touch of sophistication to your look. These eyeglasses are not only stylish but also versatile, making them an ideal choice for everyday wear. These eyeglasses are available with prescription lenses.",OPSM - OPSM
0RX6536__2502,"Elevate your style quotient with Ray-Ban Caravan Optics. These square-shaped glasses are crafted from durable metal, offering a timeless and versatile look. The polished gunmetal finish adds a touch of sophistication to the frame, making it an ideal choice for everyday wear. These eyeglasses feature a square shape that complements most face shapes. These eyeglasses are available with prescription lenses.",GL - Glasses|CL - Clearly|GL - Glasses
0RX6466__3102,"Elevate your fashion and performance standards with Ray-Ban RB6466 Optics. The square shape, crafted from durable metal, offers a modern twist on a timeless design. The polished grey on gunmetal frame color adds a touch of sophistication to any look. These eyeglasses are not only stylish but also versatile. These eyeglasses are available with prescription lenses.",LC - Lens Crafters|TO - Target Optical|GL - Glasses|DC - David Clulow|GL - Glasses|OPSM - OPSM|SV - Salmoiraghi e Viganò
0RX6444__2500,"Elevate your fashion and optical standards with Ray-Ban RB6444 Optics. The square shape and polished gold metal frame exude a timeless appeal, making these eyeglasses a versatile choice for everyday wear. The black color adds a touch of sophistication, while the gold color brings a touch of elegance. These frames are designed to complement any outfit and any occasion. These eyeglasses are available with prescription lenses.",OPSM - OPSM|TO - Target Optical
0RX6422__3005,"Elevate your fashion as well as optical standards with Ray-Ban RB6422 Optics. The matte finish of the metal frame in a unique phantos shape adds a touch of sophistication to any outfit. The beige color adds a soft, neutral tone that complements any look. These eyeglasses are not only stylish but also versatile, making them an ideal choice for everyday wear. These eyeglasses are available with prescription lenses.",TO - Target Optical|OPSM - OPSM|LC - Lens Crafters
0RX3947V__2946,"Elevate your style with Ray-Ban Round Gaze eyeglasses. The round shape and polished black on gold metal frame offer a timeless look that complements any face shape or style. These glasses are designed to be durable, featuring a metal frame that can withstand everyday wear and tear. With their unique design and high-quality materials, these shades are a must-have accessory for those who value both fashion and functionality. These eyeglasses are available with prescription lenses.",TO - Target Optical
0RX6428__2995,"Elevate your fashion while optimizing utility with Ray-Ban RB6428 Optics. The square shape and metal frame material create a sleek, modern look. The matte black finish adds a touch of sophistication, making these glasses a versatile addition to any wardrobe. Choose Ray-Ban RB6428 Optics for style and comfort that lasts. These eyeglasses are available with prescription lenses.",LC - Lens Crafters
0RX6396__2936,"Elevate your fashion while optimizing utility with Ray-Ban RB6396 Optics. The polished silver metal frame, in a unique phantos shape, offers a modern and sophisticated look. These eyeglasses are not only stylish but also durable. The black color adds a touch of mystery to the overall design. Embrace the versatility of these frames and experience the freedom to express yourself through your choice of eyewear. These eyeglasses are available with prescription lenses.",LC - Lens Crafters|TO - Target Optical
0RX5154__8117,"Elevate your eyewear game with Ray-Ban Clubmaster Optics. The square shape and polished grey havana acetate frame offer a timeless appeal, while the black color adds a modern twist. These glasses are not just stylish but also functional, providing an optimal viewing experience. Embrace the sophistication of these shades and enjoy the superior comfort they provide. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò
0RX5154__5911,"Elevate your fashion and optical standards simultaneously with Ray-Ban Clubmaster Optics. Crafted from durable acetate, these glasses feature a square shape that exudes a timeless appeal. The polished red havana frame color adds a touch of sophistication to any look. These eyeglasses are not only stylish but also practical. These eyeglasses are available with prescription lenses.",LC - Lens Crafters|OPSM - OPSM|DC - David Clulow|CL - Clearly|LC - Lens Crafters
0RX5187__2000,"Discover the craftsmanship that unites style and optical functionality in Ray-Ban RB5187 Optics. Crafted from durable acetate, these glasses feature a polished black frame in a modern rectangle shape that adds a touch of sophistication to any look. These eyeglasses are designed to provide excellent vision while complementing your unique style. These eyeglasses are available with prescription lenses.",LC - Lens Crafters|OPSM - OPSM|CL - Clearly|LC - Lens Crafters|GL - Glasses
0RX6335__2917,"Discover the impeccable synergy of style and performance in Ray-Ban RB6335 Optics. Crafted from durable metal, these eyeglasses feature a polished havana on gold frame in a flattering rectangle shape that adds a touch of sophistication to any look. The black color on the temples complements the overall design, making these glasses a versatile choice for everyday wear. These eyeglasses are available with prescription lenses.",LC - Lens Crafters|OPSM - OPSM|TO - Target Optical
0RX5390__2034,"Elevate your style quotient with Ray-Ban RB5390 Optics. The square shape and polished finish give these eyeglasses a sleek and modern look. Crafted from durable acetate, the frame features a unique black on transparent color scheme that adds a touch of sophistication to any outfit. These shades are not just stylish but also practical. These eyeglasses are available with prescription lenses.",GL - Glasses|GL - Glasses|CL - Clearly
0RX5387__8092,"Experience the perfect blend of style and optical functionality with Ray-Ban RB5387 Optics. The square shape and polished finish give these glasses a modern and sophisticated look. Crafted from durable acetate, the frame is available in a transparent blue color, adding a pop of color to your everyday wear. The key bridge design adds a unique touch to the overall aesthetic. These eyeglasses are available with prescription lenses.",GL - Glasses|GL - Glasses
0RX5377__2000,"Elevate your style quotient with Ray-Ban Meteor Optics. The square shape and polished black frame made from durable acetate offer a sleek, modern look. These eyeglasses feature a unique design that is sure to turn heads. Whether you're looking for a fashion-forward accessory or need corrective lenses, these glasses are a versatile choice for everyday wear. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò|TO - Target Optical|LC - Lens Crafters|OPSM - OPSM|DC - David Clulow|GL - Glasses
0RX5382__5911,"Elevate your eyewear game with the Ray-Ban Tucson Optics. The square shape and polished red havana frame color give these glasses a unique and modern look. Crafted from durable acetate, these eyeglasses are designed to withstand everyday wear and tear. With their versatile shape and vibrant color, these frames are a stylish addition to any wardrobe. These eyeglasses are available with prescription lenses.",LC - Lens Crafters|LC - Lens Crafters|TO - Target Optical|SV - Salmoiraghi e Viganò
0RX5370__2012,"Elevate your fashion quotient with Ray-Ban RB5370 Optics. The irregular shape, combined with a polished finish, gives these eyeglasses a unique and modern look. Crafted from durable acetate, the frame is available in a versatile dark havana color. The key bridge adds an interesting detail to the design. These glasses are not only stylish but also practical for everyday wear. These eyeglasses are available with prescription lenses.",GL - Glasses
0RX6335__2503,"Experience the perfect blend of style and functionality with Ray-Ban RB6335 Optics. The rectangle shape, crafted from durable metal, offers a modern and sophisticated look. The matte black frame color adds a touch of elegance to any outfit. These eyeglasses are versatile and stylish, making them a must-have accessory for any fashion-forward individual. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò|TO - Target Optical|LC - Lens Crafters|GL - Glasses|OPSM - OPSM|CL - Clearly|TO - Target Optical|LC - Lens Crafters|GL - Glasses|OPSM - OPSM|CL - Clearly
0RX5387__2012,"Elevate your style quotient with Ray-Ban RB5387 Optics. Crafted from durable acetate, these square-shaped glasses feature a polished havana finish that adds a touch of sophistication to any look. The key bridge design and square shape offer a modern and versatile appeal. These eyeglasses are not only stylish but also practical. These eyeglasses are available with prescription lenses.",GL - Glasses|LC - Lens Crafters|GL - Glasses|SV - Salmoiraghi e Viganò|TO - Target Optical|OPSM - OPSM|DC - David Clulow
0RX5388__5988,"Ray-Ban Jeffrey Optics are a perfect blend of style and functionality. The square shape and polished finish give these glasses a sleek, modern look. Crafted from durable acetate, the frame is available in a versatile grey color, making it easy to match with any outfit. These eyeglasses are not only stylish but also practical for everyday wear. These eyeglasses are available with prescription lenses.",OPSM - OPSM|SV - Salmoiraghi e Viganò|LC - Lens Crafters
0RX6346__2861,"Elevate your fashion and optical standards simultaneously with Ray-Ban RB6346 Optics. The square shape and polished black on silver frame color offer a sleek, modern look. Crafted from durable steel, these eyeglasses are designed to withstand everyday wear and tear. The square shape adds a touch of sophistication to any outfit. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò|LC - Lens Crafters|OPSM - OPSM
0RL8184__58358G,"Elevate your fashion while optimizing utility with Ralph Lauren RL8184 sunglasses. The butterfly shape and polished, shiny black gradient grey frame, crafted from durable acetate, offer a timeless appeal. The gradient grey lenses add a touch of sophistication to the design and provide excellent protection against the sun's harmful rays. These shades are not only stylish but also versatile, embracing the effortless glamour of Ralph Lauren. These sunglasses are available with prescription lenses.",GL - Glasses|SV - Salmoiraghi e Viganò
0RX5375__5883,"Elevate your style quotient with Ray-Ban RB5375 Optics. The square shape, crafted from durable acetate, offers a modern and sophisticated look. The polished havana on light blue frame color adds a touch of elegance, making these glasses a versatile accessory for any occasion. These eyeglasses are not just stylish but also practical. These eyeglasses are available with prescription lenses.",TO - Target Optical|LC - Lens Crafters
0RX5375F__5713,"Elevate your fashion and optical standards with Ray-Ban RB5375 Optics. Crafted from durable acetate, these square-shaped glasses feature a polished tortoise frame color that adds a touch of sophistication to any look. The black color finish on the frame adds a sleek contrast, making these eyeglasses a versatile accessory for everyday wear. These eyeglasses are available with prescription lenses.",OPSM - OPSM
0RX6346__2904,"Discover the impeccable synergy of style and optical performance in Ray-Ban RB6346 Optics. Crafted from durable steel, these square-shaped glasses feature a matte black finish that adds a touch of sophistication to any look. The frame color is complemented by sleek black lenses, providing excellent vision clarity and protection. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò|OPSM - OPSM|CL - Clearly|GL - Glasses
0RX6378__2905,"Elevate your style quotient with Ray-Ban RB6378 Optics. The polished metal frame in a unique phantos shape offers a modern twist on a timeless design. Crafted in a sophisticated brown color, these eyeglasses are not only stylish but also versatile. These frames are designed to provide you with optimal comfort and functionality. These eyeglasses are available with prescription lenses.",GL - Glasses|OPSM - OPSM|TO - Target Optical|LC - Lens Crafters|SV - Salmoiraghi e Viganò
0RX5369F__2144,"Introducing the Ray-Ban RB5369 Optics, a perfect blend of style and functionality. These square-shaped eyeglasses feature a polished striped havana frame made from durable acetate. The black and beige color scheme adds a touch of sophistication to your look. Embrace your unique sense of style with these versatile shades. These eyeglasses are available with prescription lenses.",OPSM - OPSM
0RX5362__5777,"Elevate your style while maintaining optimal performance with Ray-Ban RB5362 Optics. The butterfly shape and polished finish give these eyeglasses a unique and stylish look. Crafted from durable acetate, the frame is available in a vibrant purple-reddish color that adds a pop of color to any outfit. These glasses are not only fashionable but also functional. These eyeglasses are available with prescription lenses.",OPSM - OPSM|TO - Target Optical|SV - Salmoiraghi e Viganò|LC - Lens Crafters|OPSM - OPSM
0RX5362__5835,"Elevate your style while maintaining optimal efficiency with Ray-Ban RB5362 Optics. The butterfly shape and polished finish give these eyeglasses a unique, sophisticated look. Crafted from durable acetate, the frame comes in a rich burgundy color that adds a pop of color to any outfit. These glasses are not only stylish but also versatile. These eyeglasses are available with prescription lenses.",TO - Target Optical|GL - Glasses|LC - Lens Crafters|OPSM - OPSM
0RX5154__5750,"Elevate your style with Ray-Ban Clubmaster Optics. The square shape and polished finish give these eyeglasses a timeless appeal. Crafted from durable acetate, the frame is designed in a striking shade of blue that is sure to turn heads. These shades are as versatile as they are chic, making them an ideal choice for everyday wear. These eyeglasses are available with prescription lenses.",GL - Glasses|LC - Lens Crafters|TO - Target Optical|GL - Glasses|LC - Lens Crafters|OPSM - OPSM
0RX5206__2445,"Elevate your style and efficiency with Ray-Ban RB5206 Optics. The rectangle shape and polished havana on green frame color, crafted from durable acetate, offer a timeless look that complements any face shape. These eyeglasses feature a unique green color on the rim, adding a touch of sophistication to your everyday look. These eyeglasses are available with prescription lenses.",GL - Glasses|OPSM - OPSM|GL - Glasses|OPSM - OPSM
0RX5169__5540,"Experience the ideal blend of style and performance with Ray-Ban RB5169 Optics. Crafted from durable acetate, these eyeglasses feature a polished grey finish that adds a touch of sophistication to any look. The rectangle shape adds a modern twist to the traditional frame design, making these glasses a versatile accessory for everyday wear. These eyeglasses are available with prescription lenses.",GL - Glasses|GL - Glasses|LC - Lens Crafters|TO - Target Optical
0RX5369__2034,"Elevate your fashion and performance standards with Ray-Ban RB5369 Optics. The square shape, crafted from durable acetate, offers a modern twist on a timeless design. The polished black on transparent frame color adds a touch of sophistication to any look. These eyeglasses are versatile and stylish, making them an excellent choice for everyday wear. These eyeglasses are available with prescription lenses.",SV - Salmoiraghi e Viganò|DC - David Clulow
0RX5154__5885,"Elevate your eyewear game with Ray-Ban Clubmaster Optics. These square-shaped glasses are crafted from durable acetate, offering a comfortable fit and superior optical clarity. The polished havana on light blue frame color adds a touch of sophistication to any look, making these shades a versatile accessory for everyday wear. These eyeglasses are available with prescription lenses.",GL - Glasses|LC - Lens Crafters|GL - Glasses
